Sample ID,Mean 01,Mean 02,Mean 03,Mean 04,Mean 05,Mean 06,Mean 07,Mean 08,StdDev 01,StdDev 02,StdDev 03,StdDev 04,StdDev 05,StdDev 06,StdDev 07,StdDev 08,
5C_0h_map_a_b2_f,13.52456,16.31965,26.44417,25.76864,19.46629,12.25189,13.15313,21.32366,8.790334,6.920618,9.227742,9.228063,9.768446,7.398733,7.309693,8.26508,
5C_0h_map_b_b2_f,11.77439,15.06439,22.55552,22.75957,17.40079,10.99346,12.64767,20.79037,7.550117,6.86332,7.387581,7.591938,7.022905,5.266035,6.094439,7.204191,
5C_0h_map_c_b2_f,11.82894,15.02656,23.69851,23.84031,18.20678,11.18302,12.48976,21.63147,7.845959,7.000244,8.453145,8.225904,7.349169,5.603292,5.592395,7.218381,
5C_0h_map_d_b2_f,10.22441,13.3407,20.19871,20.39495,14.8698,9.217295,10.78428,18.8349,7.127209,6.568812,5.960959,6.168795,5.193493,3.802983,4.393508,6.331463,
5C_120h_map_a_b2_f,12.667,16.41964,22.82036,23.15381,18.22341,11.76115,13.30792,20.49488,7.478024,6.957129,7.245827,7.678881,8.315723,6.193042,6.341281,7.534057,
5C_120h_map_b_b2_f,13.99184,15.75402,23.89504,24.72093,19.40707,12.6864,14.3011,22.56098,8.351295,6.888388,7.787842,8.085759,8.168389,7.218284,7.36533,9.489812,
5C_120h_map_c_b2_f,14.60988,17.89227,25.85975,26.56135,21.04574,13.40679,16.35767,24.85751,7.657506,6.729721,5.781438,5.857699,6.082288,5.783819,7.334099,7.472606,
5C_120h_map_d_b2_f,15.20058,17.99155,28.33268,29.63975,23.98902,15.93172,17.18504,25.81026,7.984903,6.986698,8.064472,8.620062,8.398994,7.478349,7.03422,8.252763,
5C_24h_map_a_b2_f,12.00318,15.23024,25.22581,25.87332,19.40212,12.1974,13.61008,23.34047,7.941725,6.968105,8.235096,8.336453,7.457871,6.046745,7.481646,9.009686,
5C_24h_map_b_b2_f,13.08986,17.78699,26.19457,26.45955,18.6384,11.82924,13.27895,22.8707,7.423702,6.441518,5.350266,4.875837,4.642445,4.07919,4.171951,5.231251,
5C_24h_map_c_b2_f,13.00459,15.48795,25.89898,25.99035,19.69712,12.16779,12.92326,20.02055,9.219017,7.455518,10.04001,10.44191,8.902798,6.527997,6.713614,7.572027,
5C_24h_map_d_b2_f,12.53675,16.41171,25.78343,26.16256,20.93617,13.74424,15.12314,23.17813,7.626104,6.793799,8.619439,8.40027,8.510262,7.848807,7.485185,8.71602,
5C_48h_map_a_b2_f,13.17843,16.43848,25.96811,26.33301,20.11306,12.64868,13.75084,22.40348,7.753272,6.648291,6.277782,6.080612,6.430088,6.012544,6.865088,6.895836,
5C_48h_map_b_b2_f,12.50947,16.57102,28.40793,27.88168,20.72384,12.65698,14.18349,22.95804,7.576742,7.492223,8.387729,8.042026,8.480078,5.396052,7.399484,11.13435,
5C_48h_map_c_b2_f,11.31414,14.85723,21.68069,22.01932,16.90522,11.13763,12.86061,19.80229,7.45553,6.76002,6.714843,5.862708,6.003509,6.272915,5.950763,5.418022,
0C_0h_air_a_b2_f,16.53411,18.72628,26.62898,26.06433,21.20134,13.62292,14.75988,23.61703,10.16862,8.660588,10.67673,10.78012,10.62347,7.77473,9.686646,12.3126,
0C_0h_air_b_b2_f,17.54938,17.97368,25.62129,26.35004,22.00263,13.76832,15.46826,26.10261,9.123512,7.76828,8.029942,8.299998,11.32906,7.077719,8.542604,11.10956,
0C_0h_air_c_b2_f,17.91974,17.73804,26.59579,27.04721,21.31582,13.34686,14.8206,23.54044,10.10037,7.960753,9.804925,9.205873,8.16726,6.475454,6.786938,7.492068,
0C_0h_air_d_b2_f,16.69086,17.21131,25.44842,24.80104,18.33509,11.32245,12.19077,21.40699,9.043877,7.635655,7.250109,6.888101,5.373508,4.167336,4.081427,6.71051,
0C_72h_air_a_b2_f,16.17937,16.69742,23.30729,23.36059,18.63788,11.899,13.5899,21.36101,9.994226,8.05956,9.40881,9.323277,8.70095,6.871718,7.34631,9.64765,
0C_72h_air_b_b2_f,15.41874,16.67581,22.20881,22.26637,17.21516,10.88972,12.22012,20.128,9.124789,6.913554,5.995684,6.488812,5.181977,5.466844,4.547196,6.191501,
0C_72h_air_c_b2_f,16.5409,18.08124,25.2876,25.44584,19.90071,12.83148,15.72497,23.35987,9.36324,7.435403,7.186625,7.056688,6.164007,5.503583,8.076041,8.269638,
10C_0h_air_a_b2_f,16.77888,17.35842,24.41448,25.24768,19.82679,12.42583,14.06725,21.93488,9.169185,7.600198,7.117011,6.980363,6.567391,5.197547,5.481767,6.534251,
10C_0h_air_b_b2_f,16.41751,16.49031,24.1224,24.12156,18.75321,11.61012,13.02081,20.74534,9.190689,7.729697,9.173404,9.341613,8.381299,5.606335,6.245167,8.287255,
10C_0h_air_c_b2_f,16.5872,17.34929,25.67398,26.16999,20.6686,12.60495,13.644,22.52183,9.551516,7.796587,8.801404,8.625485,7.501445,5.4149,5.11987,6.73842,
10C_0h_air_d_b2_f,15.82326,15.27936,24.1258,24.44169,18.64768,11.68796,12.58521,20.66028,9.677809,7.64368,8.179741,8.107058,6.609837,5.373169,5.44655,6.286064,
10C_24h_air_a_b2_f,14.90227,16.39642,22.73895,23.01735,18.01826,10.97359,12.42855,19.26407,8.984576,7.172589,6.888047,6.982854,6.355276,4.975102,5.607368,6.514764,
10C_24h_air_b_b2_f,18.9191,19.53086,31.11571,31.52095,23.59166,14.74606,17.07784,25.6907,9.314522,7.395206,7.815732,7.718791,6.961498,5.850561,8.32597,7.011728,
10C_24h_air_c_b2_f,15.64378,16.03564,25.0573,25.1385,19.62572,12.03785,13.74585,21.86236,9.136613,7.066088,6.467686,6.362318,6.25603,4.589616,5.188752,7.001145,
10C_24h_air_d_b2_f,17.41055,18.08671,27.57629,27.36771,20.90602,12.84295,13.74228,21.39231,9.046555,7.176262,7.186166,7.018394,8.653283,6.045806,5.840576,6.446943,
5C_0h_air_a_b2_f,15.66248,17.05154,23.56412,23.6543,17.61898,11.07456,12.31145,21.35759,8.958229,7.911629,7.683671,8.538071,7.229231,6.53408,7.157163,7.924675,
5C_0h_air_b_b2_f,16.135,16.74313,23.8646,24.58788,19.73519,11.94431,13.64013,22.37412,9.110161,7.308557,7.043449,7.21315,7.046584,5.514201,6.311241,7.712928,
5C_0h_air_c_b2_f,17.24839,18.42854,27.34085,27.97787,21.99419,13.67321,14.86189,23.01348,9.064041,8.306268,7.994004,8.894991,8.184418,6.560341,5.744794,7.563816,
5C_0h_air_d_b2_f,17.12357,17.51564,27.96564,28.68737,22.4424,13.89298,15.72156,24.10704,9.137557,7.692838,8.89703,8.851508,8.394257,6.891066,7.87641,8.482821,
5C_24h_air_a_b2_f,15.71238,16.99048,22.30712,22.24105,17.90227,11.34888,12.69056,19.79196,8.737276,7.182068,5.109402,5.289607,6.917325,5.28198,4.332263,5.057089,
5C_24h_air_b_b2_f,18.82629,19.82367,30.60462,30.10134,23.17388,14.33498,14.37137,22.62762,9.805868,8.11296,10.37106,9.795712,8.842773,6.582831,5.498143,6.496331,
5C_24h_air_c_b2_f,15.30661,15.59895,23.55479,23.69527,18.92142,11.68782,13.28228,20.99186,9.614327,7.941937,8.725276,8.352439,7.459107,5.726717,6.238811,7.832614,
5C_24h_air_d_b2_f,15.78057,17.07281,21.32013,21.32004,15.88195,10.13159,10.59547,19.07422,9.160662,7.079148,5.392077,5.185776,3.827976,3.830716,5.032561,5.806902,
5C_72h_air_a_b2_f,15.16058,15.48255,22.11319,23.1946,17.49962,10.8095,13.58836,21.95439,8.99165,7.489584,6.671155,6.453862,5.839622,4.791905,6.019757,8.038967,
5C_72h_air_b_b2_f,14.2972,14.92684,21.26598,21.45352,16.16054,10.21747,12.87052,20.2824,8.68234,7.368327,6.986686,6.336718,5.775132,4.708151,6.072848,8.254943,
5C_72h_air_c_b2_f,16.88999,17.75691,28.42515,28.91364,23.20661,14.85543,17.40693,25.66132,9.52836,7.786892,8.447157,8.65321,7.588345,6.040114,6.252332,7.137203,
10C_72h_air_a_b2,15.194,15.74599,25.42105,28.49104,25.19475,17.14953,16.60413,27.82051,9.068001,7.224211,5.882297,6.474148,7.738197,6.260031,7.438762,8.778529,
10C_72h_air_b_b2,16.4798,17.16208,26.61889,27.7923,22.77227,14.80011,14.58439,23.55866,8.750304,7.333306,6.48137,6.790438,6.356042,4.958586,6.658033,6.728645,
10C_72h_air_c_b2,12.9004,14.12581,20.87196,22.48116,19.10907,12.64144,12.13466,20.26847,8.200202,8.405818,6.383354,6.645878,6.049076,4.514828,4.311131,5.967196,
10C_96h_air_a_b2,18.59595,19.8315,30.64197,32.62372,28.82472,19.94479,19.02915,30.71314,9.172468,7.847123,7.868355,7.397821,8.582217,7.680217,7.6446,8.689452,
10C_96h_air_b_b2,15.4151,16.58829,26.61806,28.74912,24.74722,16.54632,15.70139,25.95255,8.616936,7.422961,7.157454,8.455472,7.520345,5.736037,6.779016,8.142055,
10C_96h_air_c_b2,14.95745,15.78939,22.13124,23.03458,19.46985,12.61414,11.75579,20.56427,8.079665,7.327963,6.02537,6.214893,6.858511,6.200849,5.289293,6.865941,
10C_96h_air_d_b2,12.28428,12.94412,18.98285,18.87418,15.38804,10.18984,9.881866,16.49419,8.46981,7.496833,7.246264,7.241201,7.15444,6.227472,7.723321,8.878588,
5C_0h_air_a_b2,16.01436,18.99266,25.60456,26.43566,20.8733,13.84236,13.58356,25.88099,8.244366,6.935585,7.443957,7.784367,6.614594,4.849969,5.102123,7.604361,
5C_0h_air_b_b2,15.2597,18.24324,24.49678,26.05933,20.90179,13.66014,13.52813,25.75504,8.022244,7.31688,5.595291,5.182523,5.191585,4.91761,4.69381,6.902588,
5C_0h_air_c_b2,15.11375,17.15732,25.38881,26.14486,21.26816,14.14419,14.22025,24.27375,7.786772,6.818431,6.513516,7.109159,6.623336,5.367393,5.336907,6.807987,
5C_0h_air_d_b2,16.22356,17.96384,29.35572,30.65283,24.81555,15.96404,16.36764,28.44671,8.505326,7.373135,8.665661,8.874347,8.33289,7.24116,6.847351,8.197269,
5C_168h_air_a_b2,12.40749,12.00242,21.2202,22.48007,19.95088,13.87736,12.98799,19.95212,8.510544,7.5414,8.898069,8.561443,7.697464,6.189954,6.309651,7.86237,
5C_168h_air_b_b2,13.1399,14.17639,21.52209,22.35654,18.13559,12.03067,11.48315,19.0435,7.946683,7.184891,6.569814,7.225002,6.809588,5.374267,5.279353,6.523799,
5C_168h_air_c_b2,13.88783,14.33463,25.11253,26.43056,22.10597,15.06767,14.51746,21.82714,7.986277,7.080799,8.612504,8.803504,8.883993,6.615729,6.237029,7.85555,
5C_168h_air_d_b2,12.61783,13.35219,20.61621,22.10673,19.11316,12.8301,12.12392,20.78396,7.335439,6.861547,5.636794,5.437856,5.225508,4.931668,4.753167,6.868904,
5C_168h_air_e_b2,15.04756,17.30117,23.81419,25.36268,20.6029,13.90096,13.93384,22.61058,7.487606,7.00873,5.31777,5.864724,5.799974,5.385393,7.631714,8.300909,
5C_168h_air_f_b2,17.2635,18.59216,30.70465,32.32868,25.31166,16.54166,15.41014,25.12061,7.497084,7.12673,5.609206,5.96029,7.403183,6.057405,6.739409,6.370941,
5C_24h_air_a_b2,16.91059,18.26486,23.68088,24.28914,20.23902,13.72211,14.13538,24.0051,7.937036,6.813366,5.572457,5.630755,5.579929,4.660839,4.521365,6.046816,
5C_24h_air_b_b2,19.74857,20.80576,28.74778,29.1281,22.68727,15.70045,14.11715,25.14391,8.603154,7.721129,6.924284,7.221833,6.318681,5.098793,4.389059,6.236484,
5C_24h_air_c_b2,16.8303,18.78777,25.7177,26.85732,21.7779,14.24,15.36554,27.05194,7.724761,7.981082,5.812566,5.47841,6.463718,4.737885,7.075669,9.964549,
5C_24h_air_d_b2,16.17256,18.74314,22.82291,22.9959,18.59484,12.99432,11.90952,23.11527,7.963062,6.697289,4.770219,4.619068,4.80666,5.223457,4.90834,5.217527,
5C_72h_air_a_b2,18.54128,19.93422,25.83367,27.28032,22.10969,14.37287,15.82335,26.06682,8.396529,6.997122,5.305392,5.121416,5.657806,6.036041,5.087552,6.387716,
5C_72h_air_b_b2,16.51365,17.57616,23.14631,24.05342,18.63417,12.48324,15.023,24.20765,9.024492,7.551164,7.705225,7.970578,6.355749,5.211503,6.372278,8.644979,
5C_72h_air_c_b2,17.19777,18.20575,26.65856,27.73453,22.56911,15.05622,17.06313,25.86145,9.056611,7.379704,8.895325,9.477095,8.375607,6.935363,8.496996,9.036898,
5C_96h_air_a_b2,16.9303,17.20684,26.95652,29.24363,23.35631,15.70438,17.7926,27.16157,9.186904,7.291571,7.404891,7.370472,6.926131,5.45356,5.429325,6.558375,
5C_96h_air_b_b2,16.73818,17.91583,27.76689,29.44421,23.96558,16.52245,17.6811,26.65463,8.737561,6.826113,6.529446,6.548196,6.374912,5.212829,4.710529,5.906817,
5C_96h_air_c_b2,16.05169,16.85295,24.1456,25.62787,20.64293,13.36043,14.25537,23.01038,7.776483,6.784668,5.542623,5.921246,7.34549,3.59466,4.984005,6.311858,
5C_96h_air_d_b2,15.50301,16.25377,23.81554,24.70094,19.34084,12.53373,13.06756,21.75692,8.555676,7.263894,6.757803,6.654494,5.749266,5.096087,4.853092,6.235495,
0C_0h_map_a_b1,19.82269,21.42677,30.13486,31.5854,25.91387,17.13764,17.35303,29.07892,9.075107,7.640244,8.897469,8.194062,8.090194,6.301307,6.564507,6.827667,
0C_0h_map_b_b1,17.57924,18.36662,24.83902,25.86942,21.42013,14.44665,14.46741,25.20246,9.081924,8.296111,8.81795,8.570278,7.957665,6.862983,7.12152,9.127388,
0C_0h_map_c_b1,21.16045,20.62261,33.11496,33.80329,27.29503,18.56923,18.38238,29.36893,9.769307,7.041107,8.88046,8.169781,7.234484,5.815142,5.536558,6.143872,
0C_0h_map_d_b1,19.50459,20.9096,30.2222,31.44594,26.98008,18.65176,18.2078,31.42213,8.391725,7.699258,7.120176,6.938255,8.27967,8.887646,8.858234,9.998759,
0C_168h_map_a_b1,19.08849,18.32906,23.97554,24.68562,19.55736,12.89124,13.03986,21.00851,8.552806,6.998239,5.62556,5.723284,5.373796,4.429715,4.939141,6.358763,
0C_168h_map_b_b1,18.44451,18.51052,24.21759,25.09302,20.21918,12.75348,13.9357,22.48022,8.421317,7.083474,6.05125,5.8817,6.870705,5.497206,5.925331,6.820119,
0C_168h_map_c_b1,18.31639,19.04094,25.38936,26.14448,21.39448,14.90022,15.76532,23.48688,8.594943,7.612049,7.863624,7.794693,8.093167,8.445066,9.280984,9.851912,
0C_168h_map_d_b1,21.48717,21.65227,32.92187,33.66111,27.38369,18.48924,17.79835,25.88433,9.313176,8.351604,9.744924,9.617326,10.42276,9.562479,7.565834,9.027581,
0C_168h_map_e_b1,19.74871,18.41471,25.40052,26.66286,20.4145,13.85844,14.06278,22.41426,9.183572,7.081086,6.332428,6.258922,6.198406,7.389762,4.928522,6.431064,
0C_168h_map_f_b1,21.14648,19.88618,28.0321,29.34487,23.12165,15.21897,15.79231,25.52394,10.25626,7.687546,8.407506,8.40783,6.9325,5.916578,6.035055,7.648146,
0C_216h_map_a_b1,15.3317,17.57072,25.84882,27.44352,21.59709,14.19844,16.51101,24.88294,8.635457,6.982696,6.421301,6.870102,7.069583,6.710485,7.164853,7.476587,
0C_216h_map_b_b1,12.92258,15.18508,22.77882,23.1783,17.94786,12.23041,12.63691,19.85082,8.384043,7.308263,9.23444,9.513458,7.96808,6.529542,6.531798,7.999331,
0C_216h_map_c_b1,16.17164,18.15241,28.28381,29.45231,23.16649,16.08574,16.77898,25.9234,8.167526,7.775623,6.49159,7.153195,8.163002,9.530809,7.956225,8.973211,
0C_216h_map_d_b1,13.92352,15.60389,25.19019,25.77389,19.79303,13.32584,13.17358,20.85354,9.228304,7.174291,6.325339,6.633775,6.271935,5.934243,6.457715,6.26657,
0C_216h_map_e_b1,15.64701,18.11387,30.98215,31.83574,25.14862,17.44369,18.12036,26.23897,8.620389,8.170466,7.962883,8.282372,9.840479,10.24087,9.604476,10.35503,
0C_216h_map_f_b1,14.05791,15.71468,22.42431,23.48481,17.52012,11.38165,11.90603,19.92396,8.927443,7.107464,6.957518,7.673825,6.327861,4.938649,5.664555,6.91608,
0C_240h_map_a_b1,14.80871,17.28102,26.4416,27.68137,23.20518,15.36364,15.60134,24.05935,8.572806,7.618173,8.011929,8.845576,11.21949,7.424272,7.210162,8.61424,
0C_240h_map_b_b1,14.54268,16.9013,26.37435,27.54781,21.89089,14.94569,14.24049,23.17995,8.574446,7.020717,6.957739,7.377251,6.704151,5.650427,4.936241,6.315866,
0C_240h_map_c_b1,12.71215,15.63947,21.93281,22.18324,17.9391,12.17163,12.9923,20.05392,8.268835,7.862706,7.898734,8.120167,8.339183,7.994437,9.472187,9.473265,
0C_240h_map_d_b1,14.83028,17.12173,25.87613,26.92905,21.72301,13.9513,14.18339,23.20751,8.560264,6.969965,7.198176,7.228282,8.568456,6.873735,6.22915,8.006976,
0C_240h_map_e_b1,16.97977,19.70398,27.45319,28.50047,23.40818,16.32971,16.12077,24.96076,9.324889,7.341831,8.767545,9.207148,8.673148,7.3475,7.88459,10.59434,
0C_240h_map_f_b1,14.77158,17.01885,25.33826,25.70697,19.92138,13.62382,13.67329,21.47636,8.514906,7.129043,9.212577,9.63191,8.770908,7.276244,6.792251,7.456439,
0C_24h_map_a_b1,21.29275,22.41274,29.91008,31.65177,27.20981,19.07429,19.53234,31.90987,8.595668,7.90568,5.266241,5.546172,6.373699,7.394066,7.506242,9.223441,
0C_24h_map_b_b1,23.30323,22.59797,35.1936,37.76635,30.66365,20.58487,21.27705,34.31615,8.756125,6.941584,7.831454,7.757864,7.03687,6.332657,8.119559,7.91829,
0C_24h_map_c_b1,19.24658,19.40684,27.97657,27.63188,20.99747,14.59223,13.41747,19.97095,9.652685,7.80738,9.895851,10.85311,10.23034,8.474947,8.443196,8.379889,
0C_24h_map_d_b1,19.71096,21.00634,27.14088,27.85484,22.40182,15.70236,15.66165,26.15993,8.542174,7.189735,6.29697,6.406825,7.220519,7.663482,8.17462,8.177561,
0C_96h_map_a_b1,19.50391,19.24433,29.07001,28.83253,22.71867,15.05223,15.10474,22.00619,8.334854,7.43315,8.91316,9.447133,7.952818,5.201587,5.452354,6.843487,
0C_96h_map_b_b1,19.59162,20.17229,28.51417,27.85185,22.14267,14.59781,14.54904,22.02069,8.814642,7.880618,9.577816,8.659371,7.854759,6.450974,6.596977,7.097152,
0C_96h_map_c_b1,20.18242,20.18776,27.10341,29.14391,23.31899,15.26553,16.68872,26.15269,8.590985,8.091615,7.174267,8.165024,7.737753,6.719926,9.17775,10.40258,
0C_96h_map_d_b1,20.90223,20.94893,27.75035,29.38774,25.11344,16.4542,17.06362,27.26677,9.015857,8.266297,8.346683,8.474051,8.861737,7.758569,7.817997,9.348388,
10C_0h_map_a_b1,18.69246,21.05511,27.50422,27.64644,23.06373,16.57716,15.80212,27.11944,8.687609,7.388152,7.714409,7.669071,7.799434,7.133565,7.198126,8.773909,
10C_0h_map_b_b1,19.46387,21.1563,28.35136,28.38624,22.48723,15.25059,14.42908,26.54003,9.015683,7.516142,6.748071,8.019974,8.017769,5.900403,5.421835,7.46919,
10C_0h_map_c_b1,19.41623,20.76841,29.79199,30.10606,23.36856,15.92067,14.68879,25.34757,8.471015,7.942443,6.392892,6.934461,6.649655,6.103663,5.431693,6.39427,
